Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/11/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Greenland,GRL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270,3450,3610,3750,3880,4060,4140,4290,4470,4590,4740,4880,4980,5080,5230,5450,5750,6130,6310,6220,6340,6560,6800,7030,7250,
Guam,GUM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310,1480,1750,2140,2490,2720,3010,3150,3130,3310,3360,3470,3590,3660,3590,3980,4430,4900,5150,5340,5700,6060,6520,6940,,
High income,HIC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16297.2639,16965.59338,17495.7448,17957.43629,18707.41234,19491.62414,20353.35539,21372.5359,22069.80242,22967.80674,24516.74102,25410.58142,26101.26372,27066.69394,28732.10655,30466.50149,32880.79392,34513.65623,35547.06421,34634.72282,36017.37055,37632.93506,38864.71523,39757.19694,40732.12717,
"Hong Kong SAR, China",HKG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16950,18260,19650,21790,23020,23720,23630,25220,24130,25210,27180,28160,28470,30560,33720,36630,40880,44670,47440,45250,48130,51450,51990,54380,56570,
Honduras,HND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1960,2050,2260,2230,2280,2350,2500,2560,2520,2670,2740,2820,2930,3110,3360,3620,3940,4130,4030,4050,4200,4310,4410,4570,
Heavily indebted poor countries (HIPC),HPC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.8187488,879.7793128,880.6880333,892.1298096,894.6580065,924.8180059,980.3405656,1019.667204,1043.194019,1061.38769,1081.44947,1115.29338,1143.184536,1181.264313,1246.347007,1335.25815,1424.877611,1520.10568,1601.54073,1646.864488,1708.773792,1787.948099,1867.825538,1947.455539,2026.758475,
Croatia,HRV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8100,9100,9710,10140,9890,10850,11580,12540,13200,14410,15210,16620,18540,19900,18770,18450,20010,20390,20990,20910,
Haiti,HTI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370,1420,1440,1510,1530,1560,1480,1570,1620,1690,1730,
Hungary,HUN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8260,8660,8850,9090,9560,10220,10620,11500,12980,14170,14940,15590,16380,17700,18060,19540,19910,20570,21500,21730,23350,23960,
Indonesia,IDN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2760,2770,3020,3590,3920,4260,4610,4830,4070,4020,4190,4300,4440,5110,5400,5790,6260,6750,7240,7540,8070,8610,9180,9700,10190,
Isle of Man,IMN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130,1160,1220,1290,1380,1480,1600,1660,1750,1900,1980,2090,2170,2340,2560,2840,3150,3510,3660,3940,4320,4650,4890,5240,5630,
Not classified,INX,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12430,13070,13550,14230,15380,16840,18350,19970,21980,23130,25810,27130,28870,31060,32920,35120,38740,40610,38220,35190,36700,37620,38120,40630,42830,
"Iran, Islamic Rep.",IRN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600,7520,7830,7830,7670,8060,8380,8580,8770,8790,9430,9740,10580,11570,12220,12990,14020,15570,15850,16100,17170,17950,16890,16590,,
Iraq,IRQ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7330,2650,3510,4600,4730,4780,5240,6180,8160,9410,9590,9740,8860,6000,9250,9840,10880,11080,12340,12200,12560,13210,14960,15660,15100,
Iceland,ISL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21050,21610,21180,21700,22610,23050,24120,26000,27680,28590,28730,30340,31940,31250,33480,34540,34570,37040,33030,32530,32420,34540,36350,41800,,
Israel,ISR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13070,13550,14310,14880,15870,17710,19110,19670,20120,20370,22690,23560,24020,22640,24430,24310,25270,27110,26650,26670,28090,29770,31140,32720,33300,
Italy,ITA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18050,18890,19430,19750,20570,21680,22430,23340,24530,25120,26540,28170,27780,28330,28730,29700,32080,33740,34860,34120,34650,35780,35860,35670,35450,
Jamaica,JAM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320,4610,4870,5690,5780,6030,6200,6190,5960,6050,6200,6310,6420,6790,7060,7300,7790,8080,8240,7790,7890,8180,8430,8490,8640,
Jordan,JOR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4330,3930,4620,4780,4960,5250,5280,5490,5630,5750,6170,6520,6770,7050,7760,8500,9280,10180,10800,11110,10940,11190,11400,11660,11910,
Japan,JPN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19350,20600,21230,21730,22290,23110,24160,24960,24660,24920,26270,27000,27680,28400,29920,31150,32700,34440,34620,32740,34650,35380,36850,38050,38120,
Kazakhstan,KAZ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6810,6150,5850,6060,6340,6400,6600,7170,8450,9520,10450,11570,12600,13870,15210,15440,15970,16690,17710,18860,20700,21710,
Kenya,KEN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1490,1460,1430,1470,1550,1630,1630,1670,1680,1690,1750,1750,1780,1880,2020,2150,2300,2290,2330,2480,2620,2710,2820,2940,
Kyrgyz Republic,KGZ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2100,1830,1580,1280,1210,1300,1410,1420,1450,1550,1690,1700,1840,1980,2030,2180,2420,2570,2640,2560,2610,2850,3100,3220,
Cambodia,KHM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,810,860,890,970,1050,1140,1200,1310,1460,1670,1880,2110,2250,2230,2350,2520,2700,2880,3080,
Kiribati,KIR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570,1420,1450,1460,1550,1630,1500,1870,2180,2020,2270,2460,2280,2250,2340,2370,2290,2400,2470,2320,2270,2220,2550,2880,3340,
St. Kitts and Nevis,KNA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9070,9020,9410,10180,10820,11660,12270,13110,12810,13230,14040,14800,15010,14440,15570,17540,19160,20090,21040,19740,19220,19730,19770,21060,22600,
"Korea, Rep.",KOR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8420,9520,10200,11010,12060,13320,14510,15400,14500,16250,17950,19060,20700,21310,22920,24030,25770,27790,28720,28330,30500,31510,32550,32900,33650,
Kosovo,KSV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6590,7350,7550,7600,7890,8420,8800,9100,9300,
Kuwait,KWT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68550,69290,72700,73890,67000,69370,67100,65190,74820,83700,91140,97360,99740,94680,84460,77500,80860,84180,82470,79850,
Latin America & Caribbean (developing only),LAC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390.199511,5586.8058,5691.238931,6286.047191,6601.854815,6608.770299,6865.094723,7187.589357,7249.202916,7340.731555,7744.63121,7884.990852,8086.148855,8264.035245,8823.22962,9391.856865,10096.81372,10775.40893,11346.52477,11259.5722,12133.93528,12837.7925,13180.03461,13458.61864,14095.94052,
Lao PDR,LAO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1100,1150,1210,1310,1390,1480,1540,1580,1720,1780,1900,2020,2120,2320,2570,2740,3040,3240,3510,3650,3930,4280,4670,5060,
Lebanon,LBN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6090,7600,7630,8040,8660,9310,9720,9510,9780,9780,9960,9970,9570,8320,10210,10820,11330,12910,14060,15030,15730,16460,16890,16950,17590,
Liberia,LBR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,400,540,470,480,310,330,380,430,490,530,580,590,670,670,710,700,
Libya,LBY,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17260,19720,20250,23010,25380,27080,27750,27380,28570,11040,22420,20080,16000,
St. Lucia,LCA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4810,5010,5480,5650,5820,6020,6430,6510,6870,7070,7520,7290,7440,7760,8410,8520,9630,9730,10020,10150,10030,10380,10240,10400,10540,
Latin America & Caribbean (all income levels),LCN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5704.630782,6017.887277,6233.988003,6803.989206,7119.443401,7160.454334,7446.164473,7837.147415,7934.291993,7961.603311,8359.647153,8488.859913,8494.645127,8700.45362,9378.137419,10087.60818,10940.34844,11750.1865,12325.88195,12192.17647,13077.94897,13890.61479,14296.44332,14605.7339,15226.1359,
Least developed countries: UN classification,LDC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.4374181,808.3165479,828.178282,853.7412729,867.3039808,902.4479733,946.8185329,986.6741445,1014.209649,1045.071206,1088.070146,1137.740864,1176.817382,1225.174576,1299.275213,1404.81439,1526.244697,1650.473479,1750.011115,1807.005813,1880.688341,1954.107384,2050.333193,2136.296733,2218.536344,
Low income,LIC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.9418805,690.7886795,675.8232388,682.54113,685.7433531,707.7121306,754.1519717,773.2917242,783.1843593,802.6100289,821.7606904,853.9480998,865.9375999,888.0389386,942.1120481,1008.244821,1071.625851,1147.885913,1197.958995,1249.421939,1309.509242,1375.37392,1441.756903,1507.390523,1570.875915,
Liechtenstein,LIE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360,2510,2670,2900,3060,3230,3370,3610,3770,3920,4240,4340,4570,4900,5230,5660,6210,6760,7140,7460,8080,8020,8640,9320,10300,
Lower middle income,LMC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740.715667,1756.975803,1807.569002,1879.981014,1957.46533,2065.254399,2189.351634,2274.316835,2274.507392,2373.21162,2480.310125,2601.184285,2693.659021,2918.628908,3178.42519,3451.602717,3783.79503,4119.284568,4333.661974,4523.281256,4848.684801,5103.74433,5369.941847,5677.488663,6001.549501,
Low & middle income,LMY,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.09664,2157.823981,2256.470296,2422.641873,2546.907956,2672.834207,2841.602282,2986.3516,3073.763372,3195.248981,3398.094543,3560.002955,3739.016964,3999.161066,4383.483458,4790.013241,5306.499814,5862.010282,6272.1639,6506.754611,7029.103993,7489.4887,7931.698067,8341.598622,8830.967294,
Lesotho,LSO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1430,1460,1440,1500,1490,1570,1620,1590,1640,1700,2080,2120,2220,2230,2200,2250,2320,2440,2490,2590,2840,2910,3280,3150,
Lithuania,LTU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6170,6570,7180,7830,7850,8570,9540,10610,11960,12810,14410,16290,18280,19820,18750,19590,21390,23460,25630,26390,
Luxembourg,LUX,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27920,31150,31840,32880,33140,34890,36220,38000,38470,42670,45250,46090,47760,47300,53730,56150,53470,62480,63550,54170,62930,63400,63150,62890,65570,
Latvia,LVA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7620,8160,9050,10250,11320,12330,13980,16140,18290,19410,18080,17590,19450,21000,22490,23360,
"Macao SAR, China",MAC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26090,27270,30580,32080,33540,34320,33850,33860,32170,30940,32280,31420,35900,39960,49370,53580,59190,75130,69080,70080,86350,101160,108500,118230,120140,
St. Martin (French part),MAF,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2470,2680,2630,2600,2920,2760,3140,3080,3340,3370,3460,3760,3910,4210,4510,4760,5230,5460,5820,5980,6200,6540,6750,7110,7290,
Monaco,MCO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4160,3600,2610,2650,1850,1860,1890,1950,1830,1800,1880,2140,2350,2690,3000,3310,3580,3710,4100,3740,4170,4520,4700,5200,5500,
Madagascar,MDG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,940,970,990,970,970,990,1030,1050,1090,1130,1190,1020,1110,1160,1220,1290,1370,1460,1370,1350,1350,1350,1370,1400,
Maldives,MDV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5410,5730,6560,7540,6910,8290,7980,8830,8560,8920,9730,10110,10270,10920,
Middle East & North Africa (all income levels),MEA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7432.3233,7557.38476,7954.383808,8150.48261,8238.683532,8486.304703,8838.655459,9171.794345,9618.960578,9792.485171,10283.83786,10589.20949,10745.57914,11165.88204,12221.21347,13061.78875,14120.86781,15118.5122,15797.16957,15805.4467,16359.71495,16846.05078,17496.00737,17754.46527,,
Mexico,MEX,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5820,6180,6430,8250,8640,7670,8060,8690,9020,9500,10090,10100,10170,10400,11050,11850,12860,13400,14020,13680,14420,15450,15910,15680,16840,
Marshall Islands,MHL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3380,2940,2840,2870,2920,3160,3400,3460,3510,3600,3870,4020,4270,4220,4130,4160,4270,4240,4510,4700,
Middle income,MIC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2224.202467,2288.389729,2397.918932,2579.525207,2716.23437,2853.66209,3036.070352,3194.659468,3291.76316,3425.647463,3648.95991,3827.127139,4026.254087,4314.295142,4736.867586,5183.917255,5753.713852,6366.974291,6823.602176,7086.76786,7669.442457,8184.371633,8680.697787,9142.455092,9694.585772,
"Macedonia, FYR",MKD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5250,5140,4820,4630,4710,4790,4910,5020,5230,5450,6130,6240,6310,6600,7170,8070,9120,9220,10660,11230,11520,11430,11660,12420,13170,
Mali,MLI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,800,770,790,810,810,860,890,940,990,950,1010,1020,1120,1150,1220,1270,1320,1370,1370,1440,1460,1430,1420,1510,
Malta,MLT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11750,12610,13200,13850,14540,15550,14690,15590,15980,17200,18570,18450,19450,19630,19700,20070,21460,22670,25140,24420,26080,26760,26480,27390,,
Myanmar,MMR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (developing only),MNA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5009.63824,4926.677543,5163.80538,5277.372853,5343.980036,5528.824494,5806.141309,6050.644923,6440.4239,6685.704848,7017.87892,7313.118816,7534.177188,7733.919159,8429.1821,8985.087586,9690.828458,10456.68762,10918.10766,11081.98647,11534.8393,11484.64937,11786.36744,11844.48838,,
Montenegro,MNE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6950,7150,7410,7740,8230,8500,10700,12630,14130,13150,13350,14330,14050,14910,15250,
Mongolia,MNG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250,3070,2760,2680,2810,3040,3160,3310,3470,3600,3670,3840,4040,4350,4890,5270,5870,6490,7050,6820,6920,8170,9210,10480,11120,
Northern Mariana Islands,MNP,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,250,230,240,250,260,330,360,400,420,420,470,470,540,570,620,670,720,770,830,870,940,1010,1060,1120,
Mauritania,MRT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,1770,1790,1870,1790,1960,2200,2080,2110,2240,2190,2140,2380,2360,2490,2700,3050,3250,3220,3080,3190,3270,3410,3570,3710,
Mauritius,MUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4850,5230,5630,5980,6220,6580,6960,7430,7870,8100,8940,9390,9670,10060,10900,11330,12150,13400,14150,14470,15470,16220,17000,17750,18150,
Malawi,MWI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,380,350,400,360,420,460,480,480,490,500,470,480,500,520,540,560,610,650,690,720,740,740,760,790,
Malaysia,MYS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6470,7070,7650,8430,9170,10040,10960,11580,10570,10940,11760,11950,12630,13540,14620,15730,17080,18460,19220,18940,20020,21350,22260,23390,24770,
North America,NAC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23288.6753,23697.63288,24630.40028,25450.45598,26776.41386,27951.10969,29293.57587,30889.98644,32447.59571,34051.97834,36093.38054,37004.40059,37737.04448,39104.76636,41339.64127,43813.89983,46400.95187,47469.05532,47749.77816,46349.51511,47941.97511,49723.28785,51724.58969,52977.13949,54748.21248,
Namibia,NAM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3740,4110,4250,4210,4240,4470,4460,4580,4680,4650,4880,4920,5220,5690,6280,6380,7010,7480,7720,7650,7900,8390,8660,9380,9810,
New Caledonia,NCL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,590,550,550,560,560,580,580,630,620,600,630,640,660,660,680,720,740,790,760,800,800,870,880,910,
Nigeria,NGA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770,1780,1770,1700,1750,1840,1950,1990,1960,,1950,2120,2160,2340,3140,3240,3870,3960,4170,4320,4750,4940,5140,5380,5710,
Nicaragua,NIC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,1530,1430,1490,1790,1970,2120,2240,2360,2520,2650,2730,2770,2870,3070,3300,3440,3700,3850,3710,3830,4110,4330,4550,4790,
Netherlands,NLD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18660,19680,20240,20990,22080,23320,24530,25930,27280,29370,32150,32780,34010,34220,36030,37450,41660,44320,45280,44430,45140,47240,47410,48900,48860,
High income: nonOECD,NOC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10753.33818,11262.65153,11172.92171,11300.86798,11236.67398,11382.51308,11672.17004,12301.73056,12327.73388,12670.21326,13729.99046,14201.7347,14403.48161,15639.35159,17395.18629,19365.14657,22219.68737,24354.61207,26618.8171,25827.20115,27312.68163,29554.77335,30815.73818,30990.06213,32007.87867,
Norway,NOR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17740,18740,19960,20860,22390,23790,26280,28180,27630,30160,36300,37820,37850,39230,43260,48890,54730,56680,62150,56480,59440,63330,65940,67500,67100,
Nepal,NPL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,830,860,890,960,990,1030,1080,1100,1150,1220,1290,1290,1340,1420,1510,1600,1690,1800,1890,1970,2050,2170,2270,2410,
New Zealand,NZL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14240,13580,13950,14810,15940,16770,17090,17990,18440,19350,20290,21360,22160,22850,23710,24090,25830,27170,27390,29230,29440,30800,31280,35130,36200,
High income: OECD,OEC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18036.8958,18759.22728,19443.04199,20000.39802,20975.02416,21958.04125,22986.47166,24126.78515,25015.05251,26074.05959,27773.30467,28790.07434,29620.58218,30510.04836,32160.38967,33838.10289,36142.76794,37648.18033,38338.47909,37398.47357,38770.17888,40219.38622,41464.93154,42582.01494,43588.37321,
OECD members,OED,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16362.88583,17008.28524,17620.44712,18260.10168,19101.2692,19870.54056,20791.37336,21830.27673,22731.26496,23637.89556,25180.4136,25996.76159,26700.74523,27471.19667,28995.87958,30548.64378,32665.35451,34029.88183,34713.92269,33825.40674,35117.39961,36512.53814,37621.76117,38558.83969,39514.39067,
